epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/l1_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/l1_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,25.3639,2.46546,3.54358,0.38149,1.71051,0.03952,3.60341,0.99506,0.92308,0.97853,0.81121,0.975,0.84615,0.845,0.68528,0.68508,2.09492,0.275,0.36387,0.01153,0,0.000444444,0.000444444,0.000444444
2,26.7103,2.67096,3.20776,0.36382,1.36934,0.03796,2.56701,0.99494,0.92308,0.97853,0.80902,0.97575,0.84615,0.845,0.69194,0.67402,2.08942,0.27392,0.36703,0.01133,0,0.00109736,0.00109736,0.00109736
3,27.9968,2.46687,3.39152,0.36336,1.81248,0.0387,2.73095,0.99494,0.92308,0.97853,0.80902,0.97575,0.84615,0.845,0.69194,0.67402,2.08942,0.27392,0.36703,0.01133,0,0.00173378,0.00173378,0.00173378
4,29.2533,2.65185,3.17753,0.41841,1.38098,0.03906,3.5036,0.99466,0.92308,0.98567,0.80015,0.97504,0.84615,0.845,0.69202,0.65933,2.07364,0.27256,0.37934,0.01109,0,0.00192575,0.00192575,0.00192575
5,30.8211,2.49822,2.83953,0.40217,1.30087,0.0397,3.61156,0.99466,0.92308,0.98567,0.80015,0.97504,0.84615,0.845,0.69202,0.65933,2.07364,0.27256,0.37934,0.01109,0,0.001901,0.001901,0.001901
6,32.1073,2.66682,2.77134,0.31607,1.2782,0.04279,2.56907,0.99544,0.92308,0.98567,0.81575,0.97821,0.84615,0.845,0.69286,0.64547,2.05612,0.26694,0.38729,0.01094,0,0.00187625,0.00187625,0.00187625
7,33.363,2.55626,4.08061,0.3364,1.54662,0.0407,4.04668,0.99544,0.92308,0.98567,0.81575,0.97821,0.84615,0.845,0.69286,0.64547,2.05612,0.26694,0.38729,0.01094,0,0.0018515,0.0018515,0.0018515
8,34.8964,2.60975,3.9227,0.42111,1.52853,0.04452,3.69876,0.99544,0.92308,0.98567,0.81575,0.97821,0.84615,0.845,0.69286,0.64547,2.05612,0.26694,0.38729,0.01094,0,0.00182675,0.00182675,0.00182675
9,36.8983,2.64675,2.96337,0.34733,1.7088,0.04318,2.09795,0.99571,0.92308,0.97556,0.81545,0.97904,0.84615,0.845,0.7023,0.64363,2.02883,0.26166,0.40521,0.01101,0,0.001802,0.001802,0.001802
10,38.2004,2.70019,2.67327,0.34969,1.31978,0.04638,3.68831,0.99571,0.92308,0.97556,0.81545,0.97904,0.84615,0.845,0.7023,0.64363,2.02883,0.26166,0.40521,0.01101,0,0.00177725,0.00177725,0.00177725
11,39.637,2.57386,5.23878,0.41982,1.2133,0.04689,7.47447,0.35853,0.43114,0.23929,0.03851,0.00082,0.07692,0.00012,2e-05,3.55116,8.62444,0.48096,2.23578,0.07043,0,0.0017525,0.0017525,0.0017525
12,41.6874,2.52702,9.53762,0.44079,0.96797,0.03653,15.1009,0.35853,0.43114,0.23929,0.03851,0.00082,0.07692,0.00012,2e-05,3.55116,8.62444,0.48096,2.23578,0.07043,0,0.00172775,0.00172775,0.00172775
13,43.2881,2.72656,8.64199,0.43601,1.33028,0.05211,16.2343,0.25035,0.30769,0.15139,0.0255,0.00099,0.07692,0.00016,3e-05,3.77344,8.63919,0.45195,1.6708,0.07611,0,0.001703,0.001703,0.001703
14,44.8981,2.55938,9.39124,0.41928,1.66327,0.05006,17.3635,0.25035,0.30769,0.15139,0.0255,0.00099,0.07692,0.00016,3e-05,3.77344,8.63919,0.45195,1.6708,0.07611,0,0.00167825,0.00167825,0.00167825
15,46.4786,2.32191,9.39246,0.37763,1.27945,0.03382,15.6001,0.25035,0.30769,0.15139,0.0255,0.00099,0.07692,0.00016,3e-05,3.77344,8.63919,0.45195,1.6708,0.07611,0,0.0016535,0.0016535,0.0016535
16,49.0302,2.59252,8.70737,0.52553,1.7781,0.03573,12.3748,0.03138,0.23077,0.02021,0.00449,0.00144,0.15385,0.00034,8e-05,3.28509,8.24123,0.90922,4.03734,0.06439,0,0.00162875,0.00162875,0.00162875
17,50.728,2.4286,8.53547,0.65183,2.1783,0.03803,12.649,0.03138,0.23077,0.02021,0.00449,0.00144,0.15385,0.00034,8e-05,3.28509,8.24123,0.90922,4.03734,0.06439,0,0.001604,0.001604,0.001604
18,52.2606,2.37918,8.28004,0.62774,1.89249,0.03384,10.0511,0.12273,0.46154,0.1226,0.02682,0.35215,0.07692,0.04108,0.00435,2.90969,8.42928,1.28005,3.99769,0.05394,0,0.00157925,0.00157925,0.00157925
19,53.7704,2.08127,6.97785,0.56095,1.6803,0.02941,8.50411,0.12273,0.46154,0.1226,0.02682,0.35215,0.07692,0.04108,0.00435,2.90969,8.42928,1.28005,3.99769,0.05394,0,0.0015545,0.0015545,0.0015545
20,55.3817,1.84516,7.23886,0.5492,1.63684,0.02424,7.95144,0.28729,0.46154,0.27728,0.07686,0.90405,0.07692,0.09756,0.04133,2.68041,7.79364,1.21149,3.40439,0.05405,0,0.00152975,0.00152975,0.00152975
21,56.8937,1.93317,6.59116,0.52746,1.62758,0.02731,8.25689,0.28729,0.46154,0.27728,0.07686,0.90405,0.07692,0.09756,0.04133,2.68041,7.79364,1.21149,3.40439,0.05405,0,0.001505,0.001505,0.001505
22,58.5316,1.66728,7.04839,0.52917,1.37233,0.02601,8.68567,0.28729,0.46154,0.27728,0.07686,0.90405,0.07692,0.09756,0.04133,2.68041,7.79364,1.21149,3.40439,0.05405,0,0.00148025,0.00148025,0.00148025
23,60.3405,1.8557,5.76375,0.42323,1.2981,0.02317,6.42503,0.4295,0.30769,0.4101,0.15818,0.50701,0.23077,0.22845,0.05294,2.3085,6.43144,0.9082,3.02064,0.0453,0,0.0014555,0.0014555,0.0014555
24,62.5776,1.86465,5.38381,0.49302,1.21237,0.02687,7.00525,0.4295,0.30769,0.4101,0.15818,0.50701,0.23077,0.22845,0.05294,2.3085,6.43144,0.9082,3.02064,0.0453,0,0.00143075,0.00143075,0.00143075
25,64.2109,2.03349,5.41771,0.41208,1.26076,0.03366,7.08778,0.32636,0.46154,0.33784,0.07617,0.61605,0.15385,0.12795,0.025,2.25453,6.0976,1.10637,3.1237,0.04444,0,0.001406,0.001406,0.001406
26,66.0176,1.70846,4.93011,0.36077,1.13324,0.0221,5.86111,0.32636,0.46154,0.33784,0.07617,0.61605,0.15385,0.12795,0.025,2.25453,6.0976,1.10637,3.1237,0.04444,0,0.00138125,0.00138125,0.00138125
27,67.5781,1.98528,5.26322,0.37216,1.29762,0.02922,6.6174,0.20555,0.30769,0.16348,0.04252,0.10062,0.30769,0.09603,0.03028,2.90253,5.34327,0.65878,2.56554,0.05946,0,0.0013565,0.0013565,0.0013565
28,69.0838,1.63147,4.76655,0.35373,1.15859,0.02079,6.1743,0.20555,0.30769,0.16348,0.04252,0.10062,0.30769,0.09603,0.03028,2.90253,5.34327,0.65878,2.56554,0.05946,0,0.00133175,0.00133175,0.00133175
29,70.6951,1.71533,5.07149,0.35974,1.03828,0.02268,5.89038,0.20555,0.30769,0.16348,0.04252,0.10062,0.30769,0.09603,0.03028,2.90253,5.34327,0.65878,2.56554,0.05946,0,0.001307,0.001307,0.001307
